id;titulo;descricao_do_conjunto_de_dados;ano;regiao;descricao_do_tipo_de_arquivo;nome_arquivo;imagem_preview;Data de referencia do dado;Data de lançamento do CEM
25;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Petrolina e Juazeiro;Petrolina e Juazeiro;2008;NORDESTE;RM Petrolina e Juazeiro 2008;RM_Petrolina_e_Juazeiro_2008.zip;RM_Petrolina_e_Juazeiro_2008---RMpejDe3.jpg;2008;01-01-2009
26;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Porto Alegre;Porto Alegre;2008;SUL;RM Porto Alegre 2008;RM_Porto_ Alegre_2008.zip;RM_Porto_Alegre_2008---RMpoaDe3.jpg;2008;01-01-2009
27;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Recife;Recife;2008;NORDESTE;RM Recife 2008;RM_Recife_2008.zip;RM_Recife_2008---RMrecDe3.jpg;2008;01-01-2009
28;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana do Rio de Janeiro;Rio de Janeiro;2008;SUDESTE;RM Rio de Janeiro 2008;RM_Rio_de_Janeiro_2008.zip;RM_Rio_de_Janeiro_2008---RMrioDe3.jpg;2008;01-01-2009
29;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Salvador;Salvador;2008;NORDESTE;RM Salvador 2008;RM_Salvador_2008.zip;RM_Salvador_2008---RMssaDe3.jpg;2008;01-01-2009
30;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de São Luís;São Luís;2008;NORDESTE;RM São Luis 2008;RM_Sao_Luis_2008.zip;RM_Sao_Luis_2008---RMsluDe3.jpg;2008;01-01-2009
31;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de São Paulo;São Paulo;2008;SUDESTE;RM São Paulo 2008;RM_Sao_Paulo_2008.zip;RM_Sao_Paulo_2008---RMsaoDe3.jpg;2008;01-01-2009
32;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana do Sul do Rio Grande do Sul;Sul do Rio Grande do Sul;2008;SUL;RM Sul do RS 2008;RM_Sul_do_RS_2008.zip;RM_Sul_do_RS_2008---RMsrsDe3.jpg;2008;01-01-2009
33;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Teresina;Teresina;2008;NORDESTE;RM Teresina 2008;RM_Teresina_2008.zip;RM_Teresina_2008---RMterDe3.jpg;2008;01-01-2009
34;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Tubarão;Tubarão;2008;SUL;RM Tubarão 2008;RM_Tubarao_2008.zip;RM_Tubarao_2008---RMtubDe3.jpg;2008;01-01-2009
35;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana do Vale do Aço;Vale do Aço;2008;SUDESTE;RM Vale do Aço 2008;RM_Vale_do_Aco_2008.zip;RM_Vale_do_Aco_2008---RMvlaDe3.jpg;2008;01-01-2009
36;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana do Vale do Itajaí;Vale do Itajaí;2008;SUL;RM Vale do Itajaí 2008;RM_Vale_do_Itajai_2008.zip;RM_Vale_do_Itajai_2008---RMvliDe3.jpg;2008;01-01-2009
37;Mapas e Dados da Divisão Territorial e Demografia da Região Metropolitana de Vitória;Vitória;2008;SUDESTE;RM Vitória 2008;RM_Vitoria_2008.zip;RM_Vitoria_2008---RMvitDe3.jpg;2008;01-01-2009
38;Mapas e Dados dos Locais de Votação no Município de São Paulo - Dados da votação para a prefeitura MSP 2000;Mapas e Dados dos Locais de Votação no Município de São Paulo - Dados da votação para a prefeitura 2000;2000;SUDESTE;Dados Gerais Prefeitura MSP 2000;Mapoteca-CEM-Dados-Gerais-Prefeitura-MSP-2000.zip;Mapoteca-CEM-Dados-Gerais-Prefeitura-MSP-2000---Mapa_leg_11.jpg;2000;01-01-2005
39;Mapas e Dados dos Locais de Votação no Município de São Paulo - Dados da votação para a prefeitura MSP 2004;Mapas e Dados dos Locais de Votação no Município de São Paulo - Dados da votação para a prefeitura 2004;2004;SUDESTE;Dados Gerais Prefeitura MSP 2004;Mapoteca-CEM-Dados-Gerais-Prefeitura-MSP-2004.zip;Mapoteca-CEM-Dados-Gerais-Prefeitura-MSP-2004---Map_11Legenda.jpg;2004;01-01-2005
40;Mapas e Dados dos Locais de Votação no Município de São Paulo - Dados da votação para a prefeitura 2008;Mapas e Dados dos Locais de Votação no Município de São Paulo - Dados da votação para a prefeitura 2008;2008;SUDESTE;Dados Gerais Prefeitura MSP 2008;Mapoteca-CEM-Dados-Gerais-Prefeitura-MSP-2008.zip;Mapoteca-CEM-Dados-Gerais-Prefeitura-MSP-2008---COD01.jpg;2008;01-01-2009
41;Mapas e Dados dos Locais de Votação no Município de São Paulo - Dados da votação para os vereadores 2000;Mapas e Dados dos Locais de Votação no Município de São Paulo - Dados da votação para os vereadores 2000;2000;SUDESTE;Dados Vereadores MSP 2000;Mapoteca-CEM-Dados-Vereadores-MSP-2000.zip;Mapoteca-CEM-Dados-Vereadores-MSP-2000---mapa11211.jpg;2000;01-01-2005
42;Mapas e Dados dos Locais de Votação no Município de São Paulo - Dados da votação para os vereadores 2004;Mapas e Dados dos Locais de Votação no Município de São Paulo - Dados da votação para os vereadores 2004;2004;SUDESTE;Dados Vereadores MSP 2004;Mapoteca-CEM-Dados-Vereadores-MSP-2004.zip;Mapoteca-CEM-Dados-Vereadores-MSP-2004---Map_11111.jpg;2004;01-01-2005
43;Mapas e Dados dos Locais de Votação no Município de São Paulo - Dados da votação para os vereadores 2008;Mapas e Dados dos Locais de Votação no Município de São Paulo - Dados da votação para os vereadores 2008;2008;SUDESTE;Dados Vereadores MSP 2008;Mapoteca-CEM-Dados-Vereadores-MSP-2008.zip;Mapoteca-CEM-Dados-Vereadores-MSP-2008---COD18.jpg;2008;01-01-2009
