id;titulo;temas;fontes;divisao-administrativa;descricao_do_conjunto_de_dados;tipos;descricao_do_tipo_de_arquivo;nome_arquivo;data_ref;data_lancamento
19;Dados da Divisão Territorial e Demografia da RM Macapá;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Macapá;Dados da Divisão Territorial e Demografia da RM Macapá;Dados;Dados da RM Macapá#Dicionário;DataMunMCP.xls#DicRMSP08im.pdf;;2008-01-01
20;Dados da Divisão Territorial e Demografia da RM Maceió;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Maceió;Dados da Divisão Territorial e Demografia da RM Maceió;Dados;Dados da RM Maceió#Dicionário;DataMunMCE.xls#DicRMSP08im.pdf;;2008-01-01
21;Dados da Divisão Territorial e Demografia da RM Manaus;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Manaus;Dados da Divisão Territorial e Demografia da RM Manaus;Dados;Dados da RM Manaus#Dicionário;DataMunMAN.xls#DicRMSP08im.pdf;;2008-01-01
22;Dados da Divisão Territorial e Demografia da RM Maringá;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Maringá;Dados da Divisão Territorial e Demografia da RM Maringá;Dados;Dados da RM Maringá#Dicionário;DataMunMAR.xls#DicRMSP08im.pdf;;2008-01-01
23;Dados da Divisão Territorial e Demografia da RM Natal;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Natal;Dados da Divisão Territorial e Demografia da RM Natal;Dados;Dados da RM Natal#Dicionário;DataMunNAT.xls#DicRMSP08im.pdf;;2008-01-01
24;Dados da Divisão Territorial e Demografia da RM Nordeste RS;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Nordeste RS;Dados da Divisão Territorial e Demografia da RM Nordeste RS;Dados;Dados da AU Nordeste (RS)#Dicionário;DataMunNRS.xls#DicRMSP08im.pdf;;2008-01-01
25;Dados da Divisão Territorial e Demografia da RM N/NE Catarinense;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM N/NE Catarinense;Dados da Divisão Territorial e Demografia da RM N/NE Catarinense;Dados;Dados RM N/NE Catarinense#Dicionário;DataMunNNC.xls#DicRMSP08im.pdf;;2008-01-01
26;Dados da Divisão Territorial e Demografia da RM Petrolina e Juazeiro;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Petrolina e Juazeiro;Dados da Divisão Territorial e Demografia da RM Petrolina e Juazeiro;Dados;Dados RIDE Petrolina e Juazeiro#Dicionário;DataMunPEJ.xls#DicRMSP08im.pdf;;2008-01-01
27;Dados da Divisão Territorial e Demografia da RM Porto Alegre;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Porto Alegre;Dados da Divisão Territorial e Demografia da RM Porto Alegre;Dados;Dados da RM Porto Alegre#Dicionário;DataMunPOA.xls#DicRMSP08im.pdf;;2008-01-01
28;Dados da Divisão Territorial e Demografia da RM Recife;Divisão Territorial#Demografia;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Recife;Dados da Divisão Territorial e Demografia da RM Recife;Dados;Dados da RM Recife#Dicionário;DataMunREC.xls#DicRMSP08im.pdf;;2008-01-01
